post,true_intents,mapped_intents
Markets are insane this week. Lost 20% on my portfolio.,"['stocks', 'stress']","['stocks investing', 'debt stress']"
Thinking about opening a Roth IRA. Any suggestions?,"['retirement', 'seeking advice']","['retirement planning', 'financial literacy']"
"Bitcoin seems risky right now, better to wait and watch.","['crypto', 'risk', 'waiting']","['crypto investing', 'risk mitigation', 'market anxiety']"
Just paid off my student loans! Finally debt free!,"['loans', 'debt', 'celebrating']","['debt stress', 'debt stress', 'celebrating']"
Are ETFs better than mutual funds for long term investing?,"['investing', 'financial planning']","['wealth building', 'financial management']"
Worried about inflation and how to save better.,"['savings', 'inflation', 'budgeting']","['savings planning', 'budgeting concern', 'budgeting concern']"
Credit card debt is piling up. Need budgeting help.,"['debt', 'budgeting', 'stress']","['debt stress', 'budgeting concern', 'debt stress']"
Planning to retire early by 45. Tracking FIRE movement.,"['retirement', 'financial planning']","['retirement planning', 'financial management']"
Is crypto staking worth it for passive income?,"['crypto', 'investing']","['crypto investing', 'wealth building']"
Got a call from a wealth manager. Should I go for it?,"['wealth', 'financial planning']","['wealth building', 'financial management']"
Had the best sushi night with friends ğŸ£â¤ï¸,"['food', 'social sharing']","['food', 'social sharing']"
Booked a weekend at a luxury spa resort!,"['travel', 'luxury', 'wellness']","['travel', 'luxury', 'wellness']"
Outfit of the day! Feeling fab ğŸ’ƒ #fashion,"['fashion', 'self-expression']","['fashion', 'fashion']"
Workout grind never stops ğŸ‹ï¸â€â™‚ï¸ #fitnessgoals,"['fitness', 'self-improvement']","['fitness', 'self-improvement']"
Chilling by the beach with a good book ğŸ–ï¸,"['travel', 'reading', 'relaxation']","['travel', 'education', 'wellness']"
Just attended the biggest concert of the year ğŸ¤ğŸ‰,"['entertainment', 'events']","['entertainment', 'entertainment']"
"New year, new goals! Time to hustle ğŸ’¼ğŸ”¥","['motivation', 'self-improvement']","['motivation', 'self-improvement']"
Back to school shopping spree ğŸ›ï¸ğŸ“š,"['shopping', 'education']","['credit card interest', 'education']"
Homemade pasta and wine night ğŸğŸ·,"['food', 'celebrating']","['food', 'celebrating']"
Feeling blessed and motivated this morning ğŸŒ,"['motivation', 'gratitude']","['motivation', 'celebrating']"
