Caption,clean_caption,intents,sentiment,sentiment_confidence,routed_model
Bye Brazil! Thanks for the quick 24hour trip! ,bye brazil thanks for the quick 24hour trip,"['travel', 'feedback to provider', 'travel card interest', 'social sharing']",neutral,0.903,finbert
Me & Preston ,me preston,"['risk mitigation', 'self-improvement', 'diversification intent', 'income insecurity']",positive,0.996,finbert
cuddle boy ,cuddle boy,"['social sharing', 'entertainment', 'luxury']",neutral,0.492,roberta
No helmet. Rebel. ,no helmet rebel,"['complaining', 'risk mitigation', 'motivation', 'diversification intent']",positive,0.994,finbert
Sooo glad is on instagram!!!! Now we need to get Simon addicted! ,sooo glad is on instagram now we need to get simon addicted,"['social sharing', 'entertainment', 'motivation', 'celebrating']",positive,0.927,roberta
Only Lol. It's true. I'm performing on the :) ,only lol its true im performing on the :,"['entertainment', 'self-improvement', 'social sharing', 'feedback to provider']",positive,0.628,roberta
loliğŸ’¥ ,loli:collision:,"['luxury', 'feedback to provider']",neutral,0.703,roberta
I curated sets of 6 of my favorite shades online and ,i curated sets of 6 of my favorite shades online and,"['social sharing', 'diversification intent', 'luxury', 'celebrating']",positive,1.0,finbert
I only FaceTime foods ,i only facetime foods,"['food', 'social sharing']",neutral,0.764,roberta
Selfish ,selfish,[],negative,0.623,roberta
ğŸ™ ,:foldedhands:,"['social sharing', 'diversification intent', 'risk mitigation', 'feedback to provider']",positive,1.0,finbert
"Ad Week cover. Loved shooting this!!! Thanks for make up, for hair & for styling it in all ",ad week cover loved shooting this thanks for make up for hair for styling it in all,"['celebrating', 'feedback to provider', 'entertainment', 'luxury']",positive,0.976,roberta
Mugler nights âœ¨Thank you for letting me wear this iconic dressâœ¨Congrats to on winning his Hollywood Beauty Award! Youâ€™re so deserving of this award! ,mugler nights :sparkles:thank you for letting me wear this iconic dress:sparkles:congrats to on winning his hollywood beauty award youre so deserving of this award,"['celebrating', 'feedback to provider', 'luxury', 'entertainment']",positive,0.986,roberta
Rad ,rad,"['social sharing', 'feedback to provider', 'self-improvement', 'celebrating']",neutral,0.491,roberta
NYC BABY ,nyc baby,"['social sharing', 'celebrating', 'diversification intent', 'feedback to provider']",positive,1.0,finbert
okay beautiful ğŸ˜ Thanks everyone for coming out last night. ,okay beautiful :smilingfacewithhearteyes: thanks everyone for coming out last night,"['social sharing', 'celebrating', 'feedback to provider', 'entertainment']",positive,0.988,roberta
Kendall stole this pic to make it look like it was her .... ,kendall stole this pic to make it look like it was her,"['social sharing', 'account access issue', 'risk mitigation', 'entertainment']",positive,0.989,finbert
Thank you Nashville for all of the love! And for bringing me out here! ,thank you nashville for all of the love and for bringing me out here,"['travel', 'celebrating', 'entertainment', 'social sharing']",positive,0.983,roberta
"Just posted a new Vine! ""World's Worst Cowboy"" ... Go give it some love! ğŸ‘± ",just posted a new vine worlds worst cowboy go give it some love :personblondhair:,"['social sharing', 'entertainment', 'motivation']",neutral,0.486,roberta
ğŸ’œ ,:purpleheart:,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",neutral,0.562,roberta
"""Justin ew why are you wearing a bandana"" Me : ""don't ask questions"" ",justin ew why are you wearing a bandana me : dont ask questions,"['complaining', 'feedback to provider', 'seeking advice', 'risk mitigation']",positive,0.997,finbert
Silly time ğŸ˜œğŸ˜ ,silly time :winkingfacewithtongue::squintingfacewithtongue:,"['entertainment', 'social sharing', 'diversification intent']",positive,1.0,finbert
Morning â˜€ï¸ ,morning :sun:,"['celebrating', 'feedback to provider', 'social sharing', 'motivation']",neutral,0.764,roberta
Miss basketball ,miss basketball,"['complaining', 'feedback to provider', 'seeking advice']",negative,0.482,roberta
My favorite time of the year :) have a great day everyone! God bless ,my favorite time of the year : have a great day everyone god bless,"['celebrating', 'social sharing', 'wellness', 'feedback to provider']",positive,0.992,roberta
My fave pajamas available now SKIMS.COM Follow us on Instagram ,my fave pajamas available now skimscom follow us on instagram,"['social sharing', 'fashion', 'product comparison', 'celebrating']",positive,0.848,roberta
In case people think these were hickeys I've been having neck problems and its from this tool called graston to scrape the stagnant blood and scar tissue lol ,in case people think these were hickeys ive been having neck problems and its from this tool called graston to scrape the stagnant blood and scar tissue lol,"['self-improvement', 'entertainment', 'risk mitigation']",negative,1.0,finbert
Love you ,love you,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",positive,0.924,roberta
ME/NORTH ,menorth,"['premium card curiosity', 'self-improvement', 'feedback to provider', 'motivation']",positive,0.997,finbert
Good game â™› ,good game,"['entertainment', 'celebrating', 'feedback to provider', 'premium card curiosity']",neutral,0.998,finbert
My Brothers <3 ,my brothers 3,['social sharing'],neutral,0.681,roberta
Downtown with my ladies ğŸ’™ ,downtown with my ladies :blueheart:,"['celebrating', 'social sharing', 'entertainment', 'luxury']",neutral,0.566,roberta
traffic ,traffic,['travel'],neutral,0.696,roberta
Styling made easy with !! ,styling made easy with,['luxury'],positive,0.731,roberta
Everyone should listen to he knows what he is talking about. ;) ,everyone should listen to he knows what he is talking about,"['feedback to provider', 'seeking advice', 'social sharing', 'self-improvement']",positive,0.657,roberta
Repost from â¤ï¸ ,repost from :redheart:,"['social sharing', 'feedback to provider', 'celebrating', 'entertainment']",neutral,0.873,roberta
I know you graduated last year but so proud of you!!!! Class of 2014 ğŸ“ ,i know you graduated last year but so proud of you class of 2014 :graduationcap:,"['celebrating', 'education', 'social sharing', 'motivation']",positive,0.985,roberta
Hi New Year. Letâ€™s make this one better than the rest. ,hi new year lets make this one better than the rest,"['self-improvement', 'motivation', 'social sharing', 'celebrating']",positive,0.951,roberta
my little tiny angel baby big sister ,my little tiny angel baby big sister,"['celebrating', 'social sharing']",positive,0.862,roberta
to last week in Paris ,to last week in paris,"['travel', 'luxury', 'travel card interest', 'celebrating']",positive,1.0,finbert
2007 pic taken on my blackberry by ,2007 pic taken on my blackberry by,['social sharing'],neutral,0.884,roberta
BLUSHES!!! I'm beyond excited to welcome these to the Kylie Cosmetics family! I'm obsessed with blush and it's a dream that I can finally have MY OWN! ğŸ˜ can't wait for you guys to experience these build-able Matte beauties! They launch this Friday at 3pm pst only on KylieCosmetics.com check out my snap to see a more xx ,blushes im beyond excited to welcome these to the kylie cosmetics family im obsessed with blush and its a dream that i can finally have my own :smilingfacewithhearteyes: cant wait for you guys to experience these buildable matte beauties they launch this friday at 3pm pst only on kyliecosmeticscom check out my snap to see a more xx,"['celebrating', 'social sharing', 'luxury', 'motivation']",positive,0.992,roberta
Look at Philips eyes ,look at philips eyes,"['social sharing', 'entertainment', 'premium card curiosity']",positive,1.0,finbert
throwback birthday vacation ,throwback birthday vacation,"['celebrating', 'travel', 'entertainment', 'luxury']",neutral,0.609,roberta
â¤ ,:redheart:,"['feedback to provider', 'social sharing', 'celebrating', 'motivation']",neutral,0.769,roberta
I love you guys<3 ,i love you guys3,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",positive,0.985,roberta
â¤ ,:redheart:,"['feedback to provider', 'social sharing', 'celebrating', 'motivation']",neutral,0.769,roberta
Temple Run ohhh ya! ğŸƒ ,temple run ohhh ya :personrunning:,"['fitness', 'celebrating', 'complaining', 'entertainment']",neutral,0.851,roberta
Watch my my family grow up follow my dog ,watch my my family grow up follow my dog,"['entertainment', 'social sharing']",positive,0.648,roberta
movie night ğŸ–¤ whatâ€™s your favorite movie? ,movie night :blackheart: whats your favorite movie,"['social sharing', 'entertainment', 'celebrating']",neutral,0.811,roberta
perfect day ,perfect day,"['celebrating', 'luxury', 'wellness', 'social sharing']",positive,0.95,roberta
mom ,mom,"['social sharing', 'feedback to provider', 'seeking advice', 'luxury']",neutral,0.563,roberta
In the end they'll judge me anyway.. So whatever ,in the end theyll judge me anyway so whatever,['motivation'],negative,0.556,roberta
ğŸ˜ ,:smilingfacewithhearteyes:,"['celebrating', 'social sharing', 'entertainment', 'luxury']",positive,0.601,roberta
I miss my little boy ğŸ˜” Louis ,i miss my little boy :pensiveface: louis,['complaining'],neutral,0.423,roberta
ğŸ· ,:pigface:,"['complaining', 'feedback to provider']",neutral,0.742,roberta
Field trip ğŸ˜‹ ,field trip :facesavoringfood:,"['travel', 'food', 'complaining', 'diversification intent']",positive,0.999,finbert
always in my own world ,always in my own world,['travel'],neutral,0.666,roberta
Our line launches today!!! Yay! Thanks ,our line launches today yay thanks,"['celebrating', 'feedback to provider', 'motivation', 'fashion']",positive,0.979,roberta
My fashion inspiration ,my fashion inspiration,['fashion'],neutral,0.502,roberta
Viva Cohiba ,viva cohiba,"['social sharing', 'celebrating', 'feedback to provider', 'luxury']",neutral,0.68,roberta
"Since the passage of the First Step Act in December, Iâ€™ve been speaking with people coming home from prison and learning about the challenges they are facing. While I have been able to offer support to some of the individuals I have met, the obstacles to success are an everyday struggle for thousands and more needs to be done. It was an honor to take part in the announcement that the administration and private sector will be stepping up to create opportunities for these men and women to succeed once home. Iâ€™m proud to partner on this initiative with , a company with a history of taking bold action to do whatâ€™s right for our community. Thank you for providing ride share credits to formally incarcerated people when they come home. If there are any other companies who would like to step up, we would welcome the support. At the moment we have a particular need for cell phones and minutes so that these people can communicate with potential employers and with their loved ones. ",since the passage of the first step act in december ive been speaking with people coming home from prison and learning about the challenges they are facing while i have been able to offer support to some of the individuals i have met the obstacles to success are an everyday struggle for thousands and more needs to be done it was an honor to take part in the announcement that the administration and private sector will be stepping up to create opportunities for these men and women to succeed once home im proud to partner on this initiative with a company with a history of taking bold action to do whats right for our community thank you for providing ride share credits to formally incarcerated people when they come home if there are any other companies who would like to step up we would welcome the support at the moment we have a particular need for cell phones and minutes so that these people can communicate with potential employers and with their loved ones,"['account access issue', 'feedback to provider', 'career growth', 'motivation']",positive,0.928,roberta
Yesterday was magical ,yesterday was magical,"['celebrating', 'luxury', 'entertainment', 'social sharing']",positive,0.952,roberta
ğŸ’˜ night ,:heartwitharrow: night,"['social sharing', 'feedback to provider', 'risk mitigation', 'seeking advice']",positive,1.0,finbert
Flashing Lights Collection- Burgundy Freaky & Fire KKWBeauty.com ,flashing lights collection burgundy freaky fire kkwbeautycom,"['entertainment', 'luxury', 'diversification intent', 'celebrating']",positive,1.0,finbert
"Thank you to the 116,000 people who came to see us play in Atlanta this weekend! ğŸ¤­â¤ï¸ love you guys â¤ï¸ğŸ’— PS happy birthday to my incredible band leader/keys player!! So lucky to know you and work with you. ğŸ“·: ",thank you to the 116000 people who came to see us play in atlanta this weekend :facewithhandovermouth::redheart: love you guys :redheart::growingheart: ps happy birthday to my incredible band leaderkeys player so lucky to know you and work with you :camera::,"['celebrating', 'career growth', 'social sharing', 'entertainment']",positive,0.991,roberta
alien adventures ğŸ‘½ ,alien adventures :alien:,"['travel', 'entertainment', 'diversification intent', 'premium card curiosity']",positive,1.0,finbert
â˜º ,:smilingface:,"['celebrating', 'social sharing', 'luxury', 'entertainment']",positive,0.582,roberta
CraZy horse ,crazy horse,"['entertainment', 'premium card curiosity', 'seeking advice', 'feedback to provider']",positive,0.984,finbert
Let's spam and petition to shut this garbage website down ,lets spam and petition to shut this garbage website down,"['motivation', 'complaining', 'social sharing']",negative,0.956,roberta
"Airport vibes- Vetements sweatshirt, J Brand jeans, Tom Ford Boots ",airport vibes vetements sweatshirt j brand jeans tom ford boots,"['travel', 'fashion', 'product comparison', 'diversification intent']",positive,1.0,finbert
Happy 12 year old ,happy 12 year old,"['celebrating', 'entertainment', 'social sharing', 'wellness']",positive,0.818,roberta
Hello ,hello,"['social sharing', 'feedback to provider', 'celebrating', 'premium card curiosity']",neutral,0.63,finbert
When is National Ice Cream Day? (This pic was taken by Shelli Azoff when I was 15. First trip to Europe on tour with the Eagles) Allison & I made a journal of this trip. I'm gonna look for it & post it on my app! ,when is national ice cream day this pic was taken by shelli azoff when i was 15 first trip to europe on tour with the eagles allison i made a journal of this trip im gonna look for it post it on my app,"['social sharing', 'food', 'celebrating', 'travel']",neutral,0.649,roberta
slumber party ğŸ€ ,slumber party :ribbon:,"['social sharing', 'entertainment', 'celebrating', 'luxury']",neutral,0.784,roberta
Love putting outfits together ,love putting outfits together,"['fashion', 'luxury', 'entertainment']",positive,0.931,roberta
"I miss you, like everyday ",i miss you like everyday,"['social sharing', 'feedback to provider', 'complaining', 'EMI concern']",negative,0.782,finbert
"Wow can't believe I'm coming to NYC next week to open up my second Pop Up Shop.. DREAMS!!! I'll see you guys there.. Address: 27 Mercer St. New York City When: 2/13/17 I'll open the doors at 10am that morning & will be open daily until 9pm! Store will stay there until supplies run out! XOXO ** Yes, we will be open on Valentines Day ",wow cant believe im coming to nyc next week to open up my second pop up shop dreams ill see you guys there address: 27 mercer st new york city when: 21317 ill open the doors at 10am that morning will be open daily until 9pm store will stay there until supplies run out xoxo yes we will be open on valentines day,"['social sharing', 'motivation', 'feedback to provider', 'celebrating']",positive,0.856,roberta
SUMMER COLLECTION X KYLIE COSMETICS! launches this Friday the 13th! ğŸ§¡ğŸ’—ğŸ’› ,summer collection x kylie cosmetics launches this friday the 13th :orangeheart::growingheart::yellowheart:,"['celebrating', 'self-improvement', 'product comparison', 'diversification intent']",positive,1.0,finbert
The cover of is here!!! This was seriously a dream come true!!!! ğŸ“· ,the cover of is here this was seriously a dream come true :camera:,"['celebrating', 'luxury', 'career growth', 'travel']",positive,0.963,roberta
Secret project ,secret project,[],neutral,0.737,roberta
Some handsomeness at the Givenchy show ,some handsomeness at the givenchy show,"['entertainment', 'fashion', 'luxury', 'celebrating']",positive,0.855,roberta
"my shirt says ""CÃ‰LFIE"" so naturally I had to take a selfie. ",my shirt says clfie so naturally i had to take a selfie,"['social sharing', 'fashion', 'celebrating', 'entertainment']",neutral,0.528,roberta
"is restocking today at 12PM PST! Get your Powder Contour & Highlight Lit, Creme Contour & Highlight Kit, or KKW lipsticks at KKWBEAUTY.COM ",is restocking today at 12pm pst get your powder contour highlight lit creme contour highlight kit or kkw lipsticks at kkwbeautycom,"['celebrating', 'luxury', 'self-improvement', 'social sharing']",neutral,0.925,roberta
"Iâ€™m so excited for another amazing launch... the Sleep Collection!! The modal jersey fabric is so stretchy, comfortable & breathable, Iâ€™m always sleeping in these now. ğŸ˜´ They will come in colors Bone, Slate and Onyx. (Iâ€™m wearing slate in these pics) Check out the full collection and sign up for the waitlist at SKIMS.COM to be the first to shop! The Sleep Collection will be available on 12.16 at 9am PST. ",im so excited for another amazing launch the sleep collection the modal jersey fabric is so stretchy comfortable breathable im always sleeping in these now :sleepingface: they will come in colors bone slate and onyx im wearing slate in these pics check out the full collection and sign up for the waitlist at skimscom to be the first to shop the sleep collection will be available on 1216 at 9am pst,"['celebrating', 'luxury', 'fashion', 'social sharing']",positive,0.991,roberta
1 billion likes in 2015 ğŸ˜³ ,1 billion likes in 2015 :flushedface:,"['social sharing', 'celebrating', 'entertainment', 'feedback to provider']",neutral,0.669,roberta
Love this hair transformation on (watch her review) using my teal extensions :) now available in all colors thanks to ,love this hair transformation on watch her review using my teal extensions : now available in all colors thanks to,"['entertainment', 'luxury', 'celebrating', 'feedback to provider']",positive,0.979,roberta
"Just a Saturday night. Taylor's tea, Demi's laugh. Honestly, can't complain. ",just a saturday night taylors tea demis laugh honestly cant complain,"['entertainment', 'luxury', 'food', 'celebrating']",positive,0.814,roberta
I ğŸ’œ u more ,i :purpleheart: u more,"['social sharing', 'feedback to provider', 'celebrating', 'motivation']",positive,0.581,roberta
"Lover, album out August 23. Cover shot by the artistic genius that is ğŸ’— Pre-add, pre-save, pre-order (all the pre stuff you feel like doing) Canâ€™t wait for you to hear this. ",lover album out august 23 cover shot by the artistic genius that is :growingheart: preadd presave preorder all the pre stuff you feel like doing cant wait for you to hear this,"['risk mitigation', 'motivation', 'SIP planning', 'celebrating']",positive,1.0,finbert
Happy Birthday sweet Dreamy! We all love you so very much! Going through my phone and see so much of you and Saint makes my heart so happy that you all are so close and have each other ğŸ’•. ,happy birthday sweet dreamy we all love you so very much going through my phone and see so much of you and saint makes my heart so happy that you all are so close and have each other :twohearts:,"['celebrating', 'social sharing', 'luxury']",positive,0.992,roberta
These crazies follow me everywhere! Sitting on my dresses during this fitting...mmhm I see you. (Bambi was waiting for me at the door) ,these crazies follow me everywhere sitting on my dresses during this fittingmmhm i see you bambi was waiting for me at the door,"['complaining', 'fashion', 'entertainment', 'feedback to provider']",neutral,0.519,roberta
Mother dearest ,mother dearest,[],neutral,0.633,roberta
:) ,:,"['social sharing', 'feedback to provider', 'luxury', 'seeking advice']",neutral,0.581,roberta
fav pup ğŸ’› ,fav pup :yellowheart:,"['entertainment', 'celebrating', 'social sharing']",positive,0.508,roberta
I think this is gonna be my next look ğŸ˜ ,i think this is gonna be my next look :smirkingface:,"['self-improvement', 'fashion', 'entertainment', 'diversification intent']",positive,1.0,finbert
Gettin' PUMPED while watching the game ... in my IGLOO! â„ï¸â›„ï¸ You watching the playoffs? Share a pic on Instagram with and I'll comment on my favorites! ,gettin pumped while watching the game in my igloo :snowflake::snowmanwithoutsnow: you watching the playoffs share a pic on instagram with and ill comment on my favorites,"['social sharing', 'motivation', 'celebrating', 'entertainment']",positive,0.789,roberta
Thank you ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’•ğŸ’• ,thank you :twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts:,"['celebrating', 'feedback to provider', 'social sharing', 'motivation']",positive,0.875,roberta
Weâ€™ll see you in a few hours Manchester!! ğŸ’•ğŸ’•ğŸ’• ğŸ“· ,well see you in a few hours manchester :twohearts::twohearts::twohearts: :camera:,"['travel', 'celebrating', 'social sharing', 'motivation']",neutral,0.51,roberta
ğŸ’‚ğŸ‘¨ğŸ‘³ ,:guard::man::personwearingturban:,['risk mitigation'],positive,1.0,finbert
XFactor were in the building!!!! ,xfactor were in the building,"['social sharing', 'financial management', 'luxury', 'risk mitigation']",positive,1.0,finbert
Video by coming soon ,video by coming soon,"['entertainment', 'social sharing']",neutral,0.874,roberta
Minus the teddy bear = thugs ,minus the teddy bear thugs,[],negative,0.608,roberta
guess that's something I'm dealing with now ,guess thats something im dealing with now,"['income insecurity', 'self-improvement']",positive,0.952,finbert
"Well, I crossed ""Officially Marry A Couple"" off my bucket list ğŸ™ŒğŸ¼ğŸ’ Congrats Elisha & Kristen!!! (Go Watch This Epic Vlog - LINK IN BIO!) ",well i crossed officially marry a couple off my bucket list :raisinghandsmediumlightskintone::ring: congrats elisha kristen go watch this epic vlog link in bio,"['celebrating', 'social sharing', 'entertainment']",positive,0.972,roberta
Logan vs. Jake (ğŸ“· by ,logan vs jake :camera: by,"['transaction dispute', 'product comparison', 'risk mitigation', 'social sharing']",positive,1.0,finbert
Congrats On ur last show !!! ;) ,congrats on ur last show,"['celebrating', 'feedback to provider', 'entertainment']",positive,0.98,roberta
s'cute! ,scute,"['transaction dispute', 'social sharing', 'risk mitigation', 'feedback to provider']",positive,0.995,finbert
Just found this fitting pic from Halloween ,just found this fitting pic from halloween,"['entertainment', 'social sharing', 'celebrating', 'fashion']",positive,0.786,roberta
"Launching our cozy collection today at 9am skims.com You donâ€™t want to miss out on this collection, trust me! Best holiday gift ever!!! ",launching our cozy collection today at 9am skimscom you dont want to miss out on this collection trust me best holiday gift ever,"['celebrating', 'motivation', 'luxury', 'social sharing']",positive,0.984,roberta
Rich you never answer when we need you the most ,rich you never answer when we need you the most,"['complaining', 'luxury', 'seeking advice', 'feedback to provider']",negative,0.684,roberta
Balance of opposites ,balance of opposites,"['diversification intent', 'financial management']",positive,1.0,finbert
Coachella moments ,coachella moments,"['entertainment', 'social sharing', 'luxury', 'celebrating']",neutral,0.657,roberta
Heartbreaker is on the Internet somewhere find it ,heartbreaker is on the internet somewhere find it,[],neutral,0.664,roberta
ğŸ ,:pineapple:,"['food', 'celebrating', 'feedback to provider', 'diversification intent']",positive,1.0,finbert
More pics from Japan ,more pics from japan,"['travel', 'social sharing', 'premium card curiosity', 'diversification intent']",positive,1.0,finbert
Water ,water,"['diversification intent', 'feedback to provider', 'seeking advice', 'risk mitigation']",positive,0.984,finbert
Bonds âš¾ï¸ğŸ† ,bonds :baseball::trophy:,"['celebrating', 'wealth building', 'product comparison']",positive,1.0,finbert
L'Avenue with these ladies ,lavenue with these ladies,"['luxury', 'social sharing', 'entertainment', 'wealth building']",positive,0.999,finbert
Notre Dame on Easter ,notre dame on easter,"['celebrating', 'entertainment', 'luxury']",neutral,0.83,roberta
Thank you â¤ï¸ ,thank you :redheart:,"['celebrating', 'feedback to provider', 'social sharing', 'motivation']",positive,0.866,roberta
â˜ºï¸ ,:smilingface:,"['celebrating', 'social sharing', 'luxury', 'entertainment']",positive,0.582,roberta
As much as I doubt God he keeps reminding me ,as much as i doubt god he keeps reminding me,"['motivation', 'seeking advice', 'feedback to provider']",negative,0.51,roberta
My Ms.Fts <3 ,my msfts 3,"['fitness', 'mutual fund interest', 'self-improvement', 'financial management']",positive,0.999,finbert
All the way â¬†ï¸ğŸ†™ ,all the way :uparrow::upbutton:,"['travel', 'self-improvement', 'feedback to provider', 'career growth']",neutral,0.799,roberta
Round two ğŸ˜± ,round two :facescreaminginfear:,"['complaining', 'risk mitigation', 'feedback to provider', 'diversification intent']",positive,0.999,finbert
Esther ,esther,"['wellness', 'entertainment', 'feedback to provider', 'self-improvement']",neutral,0.693,roberta
That carpet got me stunned ,that carpet got me stunned,"['luxury', 'entertainment']",negative,0.494,roberta
